name,longitude,latitude,key,family,genus,species,stateProvince,year,month,day,eventDate,countryCode,county
"Leptotes marina (Reakirt, 1868)",-118.61564,35.95523,1913221831,Lycaenidae,Leptotes,Leptotes marina,California,2016,6,22,2016-06-22,US,Tulare County
"Leptotes marina (Reakirt, 1868)",-111.41832,37.77606,1039165395,Lycaenidae,Leptotes,Leptotes marina,Utah,1991,6,6,1991-06-06,US,Garfield County
"Leptotes marina (Reakirt, 1868)",-110.408137,31.488986,896142291,Lycaenidae,Leptotes,Leptotes marina,Arizona,1991,7,31,1991-07-31,US,Cochise
"Leptotes marina (Reakirt, 1868)",-110.347618,31.475143,1039175091,Lycaenidae,Leptotes,Leptotes marina,Arizona,1987,4,30,1987-04-30,US,Cochise County
"Leptotes marina (Reakirt, 1868)",-117.569,33.375666,1883698114,Lycaenidae,Leptotes,Leptotes marina,California,1987,4,15,1987-04-15,US,San Onofre
"Leptotes marina (Reakirt, 1868)",-117.569,33.375666,1883686888,Lycaenidae,Leptotes,Leptotes marina,California,1987,4,15,1987-04-15,US,San Onofre
"Leptotes marina (Reakirt, 1868)",-110.871,32.154,1039036490,Lycaenidae,Leptotes,Leptotes marina,Arizona,1987,4,24,1987-04-24,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.879817,31.713129,1039086159,Lycaenidae,Leptotes,Leptotes marina,Arizona,1987,5,2,1987-05-02,US,Santa Cruz County
"Leptotes marina (Reakirt, 1868)",-118.416579,33.91307,1469551863,Lycaenidae,Leptotes,Leptotes marina,California,1987,6,6,1987-06-06,US,Los Angeles
"Leptotes marina (Reakirt, 1868)",-116.510773,32.843384,1455863552,Lycaenidae,Leptotes,Leptotes marina,California,1986,6,16,1986-06-16,US,San Diego
"Leptotes marina (Reakirt, 1868)",-116.55724,32.84894,727588129,Lycaenidae,Leptotes,Leptotes marina,California,1986,6,16,1986-06-16,US,San Diego
"Leptotes marina (Reakirt, 1868)",-116.509399,32.841365,813420827,Lycaenidae,Leptotes,Leptotes marina,California,1986,6,16,1986-06-16,US,San Diego
"Leptotes marina (Reakirt, 1868)",-116.61585,32.85283,1039068937,Lycaenidae,Leptotes,Leptotes marina,California,1985,6,4,1985-06-04,US,San Diego County
